               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.070044,            0.061388,            0.074295,             0.78887,             0.14249,             0.11625,             0.05144,            0.054907,            0.073215,            0.078995,           0.0098535,           0.0098535,           0.0098535
                  76,            0.065951,             0.05441,            0.073459,              0.8435,            0.052103,            0.072081,            0.027342,            0.057374,            0.077099,             0.08001,           0.0098515,           0.0098515,           0.0098515
                  77,            0.063912,            0.063234,            0.074782,             0.88273,            0.050111,            0.069566,            0.041777,            0.053033,             0.07595,            0.080455,           0.0098495,           0.0098495,           0.0098495
                  78,            0.060677,            0.059644,            0.074727,             0.76346,            0.096529,            0.067078,            0.031006,            0.061094,            0.078906,            0.079211,           0.0098475,           0.0098475,           0.0098475
                  79,            0.064476,            0.055126,            0.071669,             0.85274,            0.079024,            0.080674,            0.043278,            0.053548,            0.074512,            0.078864,           0.0098456,           0.0098456,           0.0098456
                  80,            0.063325,            0.051783,            0.074779,             0.78179,             0.13382,             0.12692,            0.067246,            0.053381,            0.071301,            0.078586,           0.0098436,           0.0098436,           0.0098436
                  81,            0.064137,            0.058488,            0.078796,             0.87315,            0.094376,              0.1324,            0.070353,            0.052754,            0.073322,            0.078283,           0.0098416,           0.0098416,           0.0098416
                  82,            0.063187,            0.056437,            0.073349,              0.8798,             0.08018,             0.09383,            0.043786,            0.056117,            0.074246,            0.078852,           0.0098396,           0.0098396,           0.0098396
                  83,            0.060802,             0.05422,             0.07236,             0.77572,             0.14218,             0.13182,            0.073155,            0.052263,            0.071665,            0.078185,           0.0098376,           0.0098376,           0.0098376
                  84,            0.061087,            0.053998,            0.073143,             0.77397,             0.13068,             0.10106,             0.04206,            0.056296,            0.075287,            0.078372,           0.0098357,           0.0098357,           0.0098357
